Date,Category-Por B,COA Account,Vendor,Vendor Type,Description,Amount,Paid Thru
09-02-2024,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,100,Mashreq_Cash
05-02-2024,Personal,Personal - Miscellaneous,A|Print House,Printing|Stationery,Printing|stationery|A|Print House,5.5,Mashreq_Cash
04-02-2024,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,97.04,Mashreq_Cash
31-01-2024,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,90.01,Mashreq_Cash
30-01-2024,Personal,Personal - Miscellaneous,ABC Supermarket,Supermarket,Supermarket purchase|ABC Supermarket,45,Mashreq_Cash
28-01-2024,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,71.05,Mashreq_Cash
27-01-2024,Personal,Personal - Miscellaneous,Saaed (Traffic Fines System),Government|Fines,Traffic/government fine|Saaed (Traffic Fines System),757,Mashreq_Cash
26-01-2024,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel|Emarat,95.02,Mashreq_Cash
24-01-2024,Personal,Personal - Miscellaneous,Green Gift Department Store,Retail,Retail purchase|Green Gift Department Store,40,Mashreq_Cash
23-01-2024,Personal,Personal - Miscellaneous,Dar Alshabab Auto,Vehicle Maintenance,Vehicle maintenance/repair|Dar Alshabab Auto,135,Mashreq_Cash
23-01-2024,Personal,Personal - Miscellaneous,Marwan Saeed Auto Care,Vehicle Maintenance,Vehicle maintenance/repair|Marwan Saeed Auto Care,567,Mashreq_Cash
