Date,Category P or B,COA Account,Vendor,Vendor Type,Description,Amount,Paid Thru,GST Treatment,Place Of Supply,Tax,Tax Type,Tax Inclusive
06-07-2025,Personal,Personal - Food & Dining,Bikanervala,Restaurant,Restaurant / dining /?? Bikanervala,104,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-07-2025,Personal,Personal - Food & Dining,Bikanervala,Restaurant,Restaurant / dining /?? Bikanervala,11,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
05-07-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,103.05,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
05-07-2025,Business,Printing & Stationery,A B Print House,Printing & Stationery,Printing & stationery /?? A B Print House,5.85,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-07-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,107.34,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
03-07-2025,Personal,Personal - Grocery & Household,Nesto Hypermarket,Supermarket,Supermarket purchase /?? Nesto Hypermarket,57,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
03-07-2025,Personal,Personal - Grocery & Household,Nesto Hypermarket,Supermarket,Supermarket purchase /?? Nesto Hypermarket,176.66,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
03-07-2025,Personal,Personal - Vehicle Maintenance,The Master Auto,Vehicle Maintenance,Vehicle maintenance/repair /?? The Master Auto,420,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,113.53,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,140.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,204.24,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,38.37,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2025,Personal,Personal - Grocery & Household,Carrefour,Supermarket,Supermarket purchase /?? Carrefour,199.99,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2025,Personal,Personal - Travel & Conveyance,National Taxi,Transport,Transport/taxi /?? National Taxi,13.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2025,Personal,Personal - Travel & Conveyance,Dubai Taxi,Transport,Transport/taxi /?? Dubai Taxi,12,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-07-2025,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel /?? Emarat,110,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
01-07-2025,Personal,Personal - Food & Dining,VOX Cinemas,Leisure,Leisure/entertainment /?? VOX Cinemas,14,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
01-07-2025,Personal,Personal - Home Electricity,SEWA (Sharjah Electricity & Water Authority),Utility,Utility bill /?? SEWA (Sharjah Electricity & Water Authority),1145.13,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
01-07-2025,Business,Software Subscriptions - Business,Google,Software/Cloud,Software/cloud subscription /?? Google,56.28,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
29-06-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,102.04,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
28-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,52.3,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
28-06-2025,Personal,Personal - Food & Dining,Noon,Online Marketplace,Online shopping /?? Noon,107.9,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,122.55,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,15.52,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,206.84,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,248,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,4.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,61,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,52.8,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,30,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
27-06-2025,Personal,Personal - Grocery & Household,Every Day Fresh Hypermarket,Supermarket,Supermarket purchase /?? Every Day Fresh Hypermarket,39.9,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
26-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,58.8,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,19.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,55.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-06-2025,Personal,Personal - Grocery & Household,Mohd Rashid Vegetables & Fruits,Grocery,Grocery purchase /?? Mohd Rashid Vegetables & Fruits,24,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-06-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,105,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-06-2025,Business,Vat Payment To Fta,Federal Tax Authority (FTA),Government / VAT,VAT payment /?? Federal Tax Authority (FTA),6336.67,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
24-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,81.8,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
23-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,101.05,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
22-06-2025,Personal,Personal - Medical & Pharmacy,Thumbay Labs,Medical,Medical expense /?? Thumbay Labs,299,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
22-06-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,90.01,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-06-2025,Business,Mobile & Telecom - Business,Virgin Mobile UAE,Telecom,Telecom / mobile bill /?? Virgin Mobile UAE,36.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-06-2025,Personal,Personal - Grocery & Household,Al Jubail Vegetables & Fruits,Grocery,Grocery purchase /?? Al Jubail Vegetables & Fruits,60,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-06-2025,Personal,Personal - Grocery & Household,Nesto Hypermarket,Supermarket,Supermarket purchase /?? Nesto Hypermarket,65.33,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-06-2025,Personal,Personal - Grocery & Household,Mohd Rashid Vegetables & Fruits,Grocery,Grocery purchase /?? Mohd Rashid Vegetables & Fruits,150,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-06-2025,Personal,Personal - Subscriptions & Software,Amazon,Online Marketplace,Online shopping /?? Amazon,16,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-06-2025,Business,Software Subscriptions - Business,Zoho Corp,Software/Cloud,Software/cloud subscription /?? Zoho Corp,45.99,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-06-2025,Personal,Personal - Vehicle Fuel,ADNOC,Fuel Station,Vehicle fuel /?? ADNOC,100.04,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,229,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,18.05,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,210.1,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-06-2025,Personal,Personal - Miscellaneous,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,105.07,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2025,Business,Electricity - Business Premises,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,446.42,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2025,Business,Mobile & Telecom - Business,Digital,Uncategorised - review,"Digital /?? uncategorised, please review",713.68,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,88,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,138.81,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,59.9,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,25.6,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2025,Personal,Personal - Drinking Water,Al Huda Drinking Water,Utility,Utility bill /?? Al Huda Drinking Water,400,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2025,Personal,Personal - Grocery & Household,Al Bawadi Supermarket,Supermarket,Supermarket purchase /?? Al Bawadi Supermarket,16.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
15-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,177.95,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
15-06-2025,Personal,Personal - Food & Dining,Silver Diamond Cafe,Restaurant,Restaurant / dining /?? Silver Diamond Cafe,19.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
15-06-2025,Personal,Personal - Grocery & Household,ABC Supermarket,Supermarket,Supermarket purchase /?? ABC Supermarket,60.48,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
14-06-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,29,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
14-06-2025,Personal,Personal - Grocery & Household,Nesto Hypermarket,Supermarket,Supermarket purchase /?? Nesto Hypermarket,441.85,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
13-06-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,94.68,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
13-06-2025,Business,Printing & Stationery,A B Print House,Printing & Stationery,Printing & stationery /?? A B Print House,5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
14-05-2025,Personal,Personal - Miscellaneous,Card Fee/EMI/VAT Adjustment,Card Adjustment,Card adjustment/refund /?? Card Fee/EMI/VAT Adjustment,2225.4,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
14-05-2025,Personal,Personal - Miscellaneous,Card Fee/EMI/VAT Adjustment,Card Adjustment,Card adjustment/refund /?? Card Fee/EMI/VAT Adjustment,2173.34,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
12-05-2025,Personal,Personal - Miscellaneous,Payment Town Centre (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Town Centre (Bank Counter),0,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
12-05-2025,Personal,Personal - Vehicle Maintenance,Fine Tools Equipment & Trading,Tools & Equipment,Tools & equipment purchase /?? Fine Tools Equipment & Trading,170,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-05-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,15.97,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-05-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,8.53,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-05-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,73.8,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-05-2025,Personal,Personal - Food & Dining,Noon,Online Marketplace,Online shopping /?? Noon,34.7,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-05-2025,Personal,Personal - Grocery & Household,Arab Al Madina Supermarket,Supermarket,Supermarket purchase /?? Arab Al Madina Supermarket,60,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-05-2025,Personal,Personal - Subscriptions & Software,Amazon,Online Marketplace,Online shopping /?? Amazon,16,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-05-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,101,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-05-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,27.27,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-05-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,65.6,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-05-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,107.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-05-2025,Personal,Personal - Food & Dining,Noon,Online Marketplace,Online shopping /?? Noon,53.65,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-05-2025,Personal,Personal - Parking & Salik,National Parking Company,Parking/Salik,Parking / Salik toll /?? National Parking Company,30,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-05-2025,Personal,Personal - Shopping & Lifestyle,Noon,Online Marketplace,Online shopping /?? Noon,143.88,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
08-05-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
08-05-2025,Personal,Personal - Travel & Conveyance,Citi Taxi,Transport,Transport/taxi /?? Citi Taxi,18.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-05-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,95.96,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-05-2025,Personal,Personal - Vehicle Maintenance,Fine Tools Equipment & Trading,Tools & Equipment,Tools & equipment purchase /?? Fine Tools Equipment & Trading,57.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-05-2025,Business,Printing & Stationery,A B Print House,Printing & Stationery,Printing & stationery /?? A B Print House,7.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
05-05-2025,Personal,Personal - Travel & Conveyance,Union Taxi,Transport,Transport/taxi /?? Union Taxi,20.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-05-2025,Personal,Personal - Grocery & Household,Shaklan Supermarket,Supermarket,Supermarket purchase /?? Shaklan Supermarket,50.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
04-05-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,108.51,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-05-2025,Personal,Personal - Vehicle Maintenance,Dar Alshabab Auto,Vehicle Maintenance,Vehicle maintenance/repair /?? Dar Alshabab Auto,500,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
01-05-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,101.94,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
01-05-2025,Business,Software Subscriptions - Business,Google,Software/Cloud,Software/cloud subscription /?? Google,30.08,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-04-2025,Personal,Personal - Vehicle Fuel,ADNOC,Fuel Station,Vehicle fuel /?? ADNOC,222.02,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-04-2025,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel /?? Emarat,170,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
29-04-2025,Personal,Personal - Vehicle Maintenance,Dar Alshabab Auto,Vehicle Maintenance,Vehicle maintenance/repair /?? Dar Alshabab Auto,120,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
28-04-2025,Personal,Personal - Medical & Pharmacy,Salah Din Medical Fitness,Medical,Medical expense /?? Salah Din Medical Fitness,78.14,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
28-04-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,115.01,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
28-04-2025,Business,Printing & Stationery,Rapid Pro Typing Services,Printing & Stationery,Printing & stationery /?? Rapid Pro Typing Services,261.86,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-04-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,105.14,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-04-2025,Business,Vehicle Registration & Insurance,Liva Insurance,Insurance,Insurance payment /?? Liva Insurance,1811.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
24-04-2025,Business,Miscellaneous Business Expenses,Alhind & Middle East Exchange,Money Exchange,Currency exchange /?? Alhind & Middle East Exchange,1064.77,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
24-04-2025,Business,Vehicle Registration & Insurance,PB Orient Insurance,Insurance,Insurance payment /?? PB Orient Insurance,479.76,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
23-04-2025,Personal,Personal - Grocery & Household,Jubily Supermarket,Supermarket,Supermarket purchase /?? Jubily Supermarket,41,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
22-04-2025,Business,Vehicle Registration & Insurance,PB Orient Insurance,Insurance,Insurance payment /?? PB Orient Insurance,479.76,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-04-2025,Business,Mobile & Telecom - Business,Digital,Uncategorised - review,"Digital /?? uncategorised, please review",272.55,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-04-2025,Personal,Personal - Subscriptions & Software,Amazon,Online Marketplace,Online shopping /?? Amazon,16,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-04-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,100.2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-04-2025,Personal,Personal - Vehicle Maintenance,Fine Tools Equipment & Trading,Tools & Equipment,Tools & equipment purchase /?? Fine Tools Equipment & Trading,270.9,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-04-2025,Business,Printing & Stationery,A B Print House,Printing & Stationery,Printing & stationery /?? A B Print House,5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-04-2025,Personal,Personal - Shopping & Lifestyle,Temu,Retail - Online,Online retail purchase /?? Temu,99.04,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-04-2025,Personal,Personal - Shopping & Lifestyle,Temu,Retail - Online,Online retail purchase /?? Temu,8.66,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-04-2025,Personal,Personal - Grocery & Household,Nesto Hypermarket,Supermarket,Supermarket purchase /?? Nesto Hypermarket,27.73,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-04-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,98.45,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-04-2025,Business,Electricity - Business Premises,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,442.95,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-04-2025,Personal,Personal - Medical & Pharmacy,Salah Din Medical Fitness,Medical,Medical expense /?? Salah Din Medical Fitness,78.14,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-04-2025,Personal,Personal - Shopping & Lifestyle,Gifts Village,Retail,Retail purchase /?? Gifts Village,87.6,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-04-2025,Business,Printing & Stationery,Rapid Pro Typing Services,Printing & Stationery,Printing & stationery /?? Rapid Pro Typing Services,261.86,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
15-04-2025,Personal,Personal - Shopping & Lifestyle,Saif Al Burhan,Uncategorised - review,"Saif Al Burhan /?? uncategorised, please review",38,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
15-04-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,105.02,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
14-03-2025,Personal,Personal - Miscellaneous,Card Fee/EMI/VAT Adjustment,Card Adjustment,Card adjustment/refund /?? Card Fee/EMI/VAT Adjustment,2225.4,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
14-03-2025,Personal,Personal - Miscellaneous,Card Fee/EMI/VAT Adjustment,Card Adjustment,Card adjustment/refund /?? Card Fee/EMI/VAT Adjustment,2173.34,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-03-2025,Business,General Maintenance & Repairs,Laspinas Building Materials,Maintenance/Repairs,Maintenance/repairs /?? Laspinas Building Materials,208.43,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-03-2025,Personal,Personal - Subscriptions & Software,Amazon,Online Marketplace,Online shopping /?? Amazon,16,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-03-2025,Personal,Personal - Vehicle Fuel,Emarat,Fuel Station,Vehicle fuel /?? Emarat,107.31,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-03-2025,Personal,Personal - Miscellaneous,Payment Al Quoz Branch (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Al Quoz Branch (Bank Counter),0,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-03-2025,Personal,Personal - Shopping & Lifestyle,Alhameidi Department Store,Retail,Retail purchase /?? Alhameidi Department Store,104.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-03-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,110.01,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
06-03-2025,Business,Printing & Stationery,A B Print House,Printing & Stationery,Printing & stationery /?? A B Print House,8.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
05-03-2025,Personal,Personal - Vehicle Maintenance,Fine Tools Equipment & Trading,Tools & Equipment,Tools & equipment purchase /?? Fine Tools Equipment & Trading,200,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
01-03-2025,Personal,Personal - Vehicle Fuel,ENOC/EPPCO,Fuel Station,Vehicle fuel /?? ENOC/EPPCO,110.01,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
01-03-2025,Business,Software Subscriptions - Business,Google,Software/Cloud,Software/cloud subscription /?? Google,27.49,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
26-02-2025,Personal,Personal - Travel & Conveyance,Dubai Duty Free,Travel/Retail,Travel/retail purchase /?? Dubai Duty Free,65,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-02-2025,Personal,Personal - Shopping & Lifestyle,Tyre Shop (Al Qouz/Al Taqdeer/Rukn Al Sahil),Vehicle Maintenance,Vehicle maintenance/repair /?? Tyre Shop (Al Qouz/Al Taqdeer/Rukn Al Sahil),60,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
23-02-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,93.67,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
23-02-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,381.59,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-02-2025,Personal,Personal - Subscriptions & Software,Amazon,Online Marketplace,Online shopping /?? Amazon,16,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
20-02-2025,Personal,Personal - Air Travel,Air India,Airline,Air travel booking /?? Air India,715,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-02-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,52.45,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-02-2025,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,43.39,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-02-2025,Personal,Personal - Food & Dining,Veppupura Restaurant,Restaurant,Restaurant / dining /?? Veppupura Restaurant,20,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-02-2025,Personal,Personal - Vehicle Fuel,ADNOC,Fuel Station,Vehicle fuel /?? ADNOC,100,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-02-2025,Personal,Personal - Food & Dining,Noon,Online Marketplace,Online shopping /?? Noon,66.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
