Date,Category P or B,COA Account,Vendor,Vendor Type,Description,Amount,Paid Thru,GST Treatment,Place Of Supply,Tax,Tax Type,Tax Inclusive
24-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,83.63,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
21-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,73.89,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,21.88,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,53.42,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-06-2026,Business,Vat Payment To Fta,Federal Tax Authority (FTA),Government / VAT,VAT payment /?? Federal Tax Authority (FTA),4402.81,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-06-2026,Business,Bank & Card Annual Fees,Card Fee/EMI/VAT Adjustment,Card Adjustment,Card adjustment/refund /?? Card Fee/EMI/VAT Adjustment,32.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-06-2026,Business,Bank & Card Annual Fees,Card Fee/EMI/VAT Adjustment,Card Adjustment,Card adjustment/refund /?? Card Fee/EMI/VAT Adjustment,650,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
16-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,85.54,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
15-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,9.4,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
13-06-2026,Business,Mobile & Telecom - Business,Digital Sharjah,Uncategorised - review,"Digital Sharjah /?? uncategorised, please review",448.2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
13-06-2026,Personal,Personal - Home Electricity,SEWA (Sharjah Electricity & Water Authority),Utility,Utility bill /?? SEWA (Sharjah Electricity & Water Authority),423.97,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
13-06-2026,Personal,Personal - Parking & Salik,RTA (Roads & Transport Authority),Government,Government payment /?? RTA (Roads & Transport Authority),100,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
12-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,27.61,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
12-06-2026,Personal,Personal - Miscellaneous,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,2.1,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
12-06-2026,Personal,Personal - Miscellaneous,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,2.1,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,58.2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
11-06-2026,Personal,Personal - Subscriptions & Software,Amazon,Online Marketplace,Online shopping /?? Amazon,16,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
10-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,100.38,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,152.29,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-06-2026,Personal,Personal - Miscellaneous,PB Orient Insurance,Insurance,Insurance payment /?? PB Orient Insurance,479.74,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
09-06-2026,Personal,Personal - Miscellaneous,Payment Al Quoz Branch (Bank Counter),Bank/Cash,Cash/bank transaction /?? Payment Al Quoz Branch (Bank Counter),-700,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-06-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,121.07,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-06-2026,Personal,Personal - Miscellaneous,Liva Insurance,Insurance,Insurance payment /?? Liva Insurance,1785,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
02-06-2026,Personal,Personal - Miscellaneous,Dubai Smart Government,Government,Government payment /?? Dubai Smart Government,405,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
30-05-2026,Personal,Personal - Parking & Salik,RTA (Roads & Transport Authority),Government,Government payment /?? RTA (Roads & Transport Authority),50,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
28-05-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,54.41,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
26-05-2026,Personal,Personal - Travel & Conveyance,Citi Taxi,Transport,Transport/taxi /?? Citi Taxi,22.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
26-05-2026,Personal,Personal - Vehicle Maintenance,Al Intikhab Auto Maintenance,Vehicle Maintenance,Vehicle maintenance/repair /?? Al Intikhab Auto Maintenance,500,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
25-05-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,127.82,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
23-05-2026,Business,Mobile & Telecom - Business,Etisalat (e&),Telecom,Telecom / mobile bill /?? Etisalat (e&),5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
23-05-2026,Personal,Personal - Travel & Conveyance,Citi Taxi,Transport,Transport/taxi /?? Citi Taxi,20.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
22-05-2026,Personal,Personal - Food & Dining,Al Ain Food & Beverages,Restaurant/Grocery,Restaurant/grocery /?? Al Ain Food & Beverages,200,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
22-05-2026,Personal,Personal - Travel & Conveyance,Citi Taxi,Transport,Transport/taxi /?? Citi Taxi,16.5,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
19-05-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,25.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-05-2026,Personal,Personal - Amazon Shopping,Amazon,Online Marketplace,Online shopping /?? Amazon,50.38,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
18-05-2026,Personal,Personal - Grocery & Household,Al Bawadi Supermarket,Supermarket,Supermarket purchase /?? Al Bawadi Supermarket,10.75,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-05-2026,Business,Mobile & Telecom - Business,Etisalat (e&),Telecom,Telecom / mobile bill /?? Etisalat (e&),448.2,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-05-2026,Personal,Personal - Travel & Conveyance,Sharjah Taxi,Transport,Transport/taxi /?? Sharjah Taxi,62.25,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
08-05-2026,Personal,Personal - Miscellaneous,Inward IPP Credit (Instant Payment),Bank Transfer,Bank transfer /?? Inward IPP Credit (Instant Payment),-11000,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-04-2026,Personal,Personal - Air Travel,Air Arabia,Airline,Air travel booking /?? Air Arabia,402.61,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
17-04-2026,Personal,Personal - Air Travel,Air Arabia,Airline,Air travel booking /?? Air Arabia,395.04,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
07-04-2026,Personal,Personal - Miscellaneous,Inward IPP Credit (Instant Payment),Bank Transfer,Bank transfer /?? Inward IPP Credit (Instant Payment),-6000,Mashreq_Main,business_registered_regular,BR,GST5,Tax Group,Yes
