Date,Description,Reference,Credit,Debit,Balance,Trigger
22-11-2023,PettyCash_PJ, CWDR To Pettycash_PJ/3162/22-11-2023 11:58:01/SWT,,10000,15682.46,PettyCash_PJ
21-11-2023,Bank_CS, From Bank-CS,10000,,25682.46,Bank_CS
21-11-2023,Bank_CS #2, From Bank-CS,10000,,15682.46,Bank_CS #2
21-11-2023,Bank_CS #3, From Bank-CS,10000,,5682.46,Bank_CS #3
21-11-2023,PettyCash_PJ, CWDR To Pettycash_PJ/1710824006/21-11-2023 10:40:10/SWT,,5002,-4317.54,PettyCash_PJ
21-11-2023,PettyCash_PJ #2, CWDR To Pettycash_PJ/2103/21-11-2023 10:11:46/SWT,,5002,684.46,PettyCash_PJ #2
13-11-2023,Bank_CS, MBK/331611324269/08:12:37/diwali,750,,6488.46,Bank_CS
13-11-2023,PettyCash_PJ, CWDR To Pettycash_PJ/2613/12-11-2023 12:07:25/SWT,,802,5686.46,PettyCash_PJ
09-11-2023,PettyCash_PJ, CWDR To Pettycash_PJ/1704173571/09-11-2023 06:07:21/SWT,,2002,5738.46,PettyCash_PJ
08-11-2023,Bank_CS, From Bank-CS,2000,,7740.46,Bank_CS
08-11-2023,Bank_CS, From Bank-CS,10000,,5740.46,Bank_CS
08-11-2023,PettyCash_PJ, CWDR To Pettycash_PJ/627604/08-11-2023 18:07:33/SWT,,5002,-4259.54,PettyCash_PJ
08-11-2023,PettyCash_PJ #2, CWDR To Pettycash_PJ/629096/08-11-2023 18:08:42/SWT,,5002,742.46,PettyCash_PJ #2
07-11-2023,Bank_CS, From Bank-CS,4500,,5744.46,Bank_CS
07-11-2023,PettyCash_PJ, CWDR To Pettycash_PJ,,4502,1244.46,PettyCash_PJ
